,author,average word length (# chars),average sentence length (# words),type-token ratio,lexical density,percent nouns,percent prepositions,percent pronouns,sum of squares
82,"Ogden, C. K",0.23665331921032595,0.4887786611644524,0.17494891648812066,0.28060727969434734,0.10944598520268062,0.5993831991704774,0.16394715396886322,0.8023742543201198
83,"Potter, Beatrix",0.14253646054875901,0.26368299394397915,1.0,0.06316856386782603,0.3154415324925321,0.6030121175563674,0.10871735650332373,1.5687820692882744
84,"Shakespeare, William",0.3415649982016952,0.1928932033889891,0.17938012310934676,0.26996421709551566,0.09818048335961932,0.7047714745877222,0.01605174471014863,0.7655322402024297
85,"Shaw, Bernard",0.24554827682840202,0.45498285571523234,0.14305141418429665,0.21641314336576908,0.345854527823172,0.3066189616021219,0.09260177650135658,0.5568073420107255
86,"Shelley, Mary Wollstonecraft",0.07926487835692285,0.7299839091943536,0.1855872901297448,0.41278959801029924,0.3513163697721249,0.2184650277260846,0.27616966721993125,0.9914171682084055
87,"Stoker, Bram",0.4542534072359564,0.5275740842340487,0.178791346822945,0.5382044135245708,0.11220728787385785,0.3103219397069457,0.12463405070766072,0.9307347370882484
88,"Swift, Jonathan",0.10674551709727995,0.8549458107660683,0.13002564693446578,0.4369285864497688,0.34867519951350756,0.519540962328249,0.12375070017182863,1.3569516453703
89,"Thoreau, Henry David",0.10572651722141897,0.7032951811400294,0.07706273245679478,0.4884003298731718,0.3752619385691584,0.3221492653559524,0.11804211710534944,1.008811368331264
90,"Verne, Jules",0.09628617671120443,0.43841316728067903,0.10958618772246745,0.21575018339498803,0.1360109350961416,0.10014084520816137,0.05948754637153398,0.29210033876328995
91,"Wells, H. G",0.26034014121172866,0.4900960729846083,0.06298168892330687,0.21081312962400378,0.1912304212703576,0.22311334018104886,0.09129210509595478,0.4510629036814103
92,"Wharton, Edith",0.3533777067091014,0.6678386843976192,0.14590585407855916,0.34900519099891,0.289417787914092,0.06705433697250497,0.136001123615585,0.8207326992681161
93,"Wilde, Oscar",0.19636707751640445,0.6542183281421613,0.12192325948523344,0.3354909527384587,0.2672045441603166,0.39103983890305105,0.1390743887994594,0.8376332202315104
94,"Wodehouse, P. G",0.548175365546024,0.0,0.06659722640366654,0.04272832034971066,0.14616076296106603,0.23233482828995286,0.07421024355430189,0.3876067326303574
